,Date,Underlying,C115,C120,C125,C130,C135,P115,P120,P125,P130,P135
0,2021-12-20,169.75,,51.05,45.6,41.4,36.68,0.7,0.88,1.08,1.4,1.78
1,2021-12-21,172.99,55.4,51.7,48.25,42,38.01,0.53,0.66,0.83,1.08,1.34
2,2021-12-22,175.64,59.9,56.0,51.0,45.9,41.95,0.52,0.6,0.7,0.91,1.17
3,2021-12-23,176.28,,57.1,,47.1,42.58,0.43,0.53,0.66,0.82,1.03
4,2021-12-27,180.33,65.56,60.2,55.75,51.1,45.07,0.36,0.45,0.55,0.67,0.85
5,2021-12-28,179.29,,59.51,54.3,50.5,45.44,0.36,0.45,0.53,0.67,0.86
6,2021-12-29,179.38,64.92,60.32,54.88,50.02,45.35,0.33,0.4,0.51,0.61,0.79
7,2021-12-30,178.2,64.48,60.1,,48.89,45.14,0.31,0.41,0.5,0.63,0.78
8,2021-12-31,177.57,,58.2,,48.72,43.59,0.3,0.35,0.45,0.56,0.71
9,2022-01-03,182.01,66.99,62.23,56.03,52.7,47.08,0.24,0.29,0.36,0.46,0.57
10,2022-01-04,179.7,64.55,62.57,54.75,50.35,45.58,0.25,0.3,0.37,0.48,0.62
11,2022-01-05,174.92,63.48,57.55,52.9,46.1,42.45,0.25,0.33,0.51,0.62,0.79
12,2022-01-06,172.0,57.85,52.4,48.75,43.1,38,0.33,0.43,0.56,0.72,0.98
13,2022-01-07,172.17,57.5,52.6,47.0,42.47,37.4,0.32,0.41,0.53,0.68,0.87
14,2022-01-10,172.19,56.55,51.55,46.87,42.8,36.92,0.32,0.43,0.54,0.73,0.89
15,2022-01-11,175.08,59.85,54.86,,44.91,39.87,0.25,0.3,0.4,0.5,0.64
16,2022-01-12,175.53,61.08,55.8,52.09,45.68,41.3,0.22,0.27,0.35,0.45,0.59
17,2022-01-13,172.19,58.0,52.2,50.7,44.03,39.46,0.26,0.32,0.45,0.58,0.76
18,2022-01-14,173.07,,52.15,48.1,43.1,38.59,0.28,0.31,0.41,0.54,0.75
19,2022-01-18,169.8,55.5,50.15,45.62,40.4,35.81,0.32,0.4,0.55,0.76,1.02
20,2022-01-19,166.23,53.24,48.57,43.38,37.65,32.85,0.37,0.49,0.66,0.88,1.19
21,2022-01-20,164.51,,49.01,42.89,35.6,31.2,0.35,0.51,0.71,0.96,1.32
22,2022-01-21,162.41,50.25,43.55,38.5,33.6,29.25,0.52,0.73,0.95,1.27,1.68
23,2022-01-24,161.62,44.0,39.95,34.6,33,29,0.64,0.86,1.08,1.46,1.9
24,2022-01-25,159.78,43.46,41.85,38.57,31.27,29,0.74,1.0,1.35,1.75,2.32
25,2022-01-26,159.69,48.0,43.53,,31.47,27.2,0.72,0.96,1.3,1.71,2.26
26,2022-01-27,159.22,44.25,40.81,35.2,30.85,26,0.62,0.89,1.25,1.71,2.29
27,2022-01-28,170.33,53.05,50.35,45.5,40.7,36,0.25,0.32,0.45,0.62,0.86
28,2022-01-31,174.78,57.92,53.12,49.8,44.95,39.25,0.11,0.18,0.23,0.31,0.44
29,2022-02-01,174.61,58.83,54.42,49.39,44.84,39.8,0.12,0.16,0.2,0.28,0.38
30,2022-02-02,175.84,60.21,55.25,50.58,45.8,40.58,0.13,0.15,0.21,0.27,0.36
31,2022-02-03,172.9,60.4,53.8,49.65,43.53,39.85,0.17,0.24,0.32,0.41,0.57
32,2022-02-04,172.39,56.13,53.1,46.84,44.05,39.26,0.16,0.19,0.27,0.37,0.44
33,2022-02-07,171.66,,52.45,48.0,41.73,37.04,0.14,0.19,0.24,0.33,0.45
34,2022-02-08,174.83,60.0,55.1,49.65,44.85,40.05,0.1,0.16,0.18,0.23,0.32
35,2022-02-09,176.28,60.8,55.86,51.13,46.07,40.93,0.07,0.1,0.12,0.16,0.23
36,2022-02-10,172.12,,52.75,47.8,42.6,38.75,0.09,0.11,0.17,0.23,0.34
37,2022-02-11,168.64,55.0,49.15,47.07,39.25,34.1,0.18,0.23,0.31,0.41,0.58
38,2022-02-14,168.88,53.65,,43.4,38.5,33.71,0.15,0.2,0.28,0.39,0.49
39,2022-02-15,172.79,57.35,52.4,47.1,42.31,38.1,0.07,0.1,0.13,0.18,0.27
40,2022-02-16,172.55,57.92,52.94,,43.05,36.84,0.06,0.08,0.12,0.16,0.22
41,2022-02-17,168.88,54.25,49.7,46.0,39.51,34.5,0.11,0.16,0.21,0.28,0.41
42,2022-02-18,167.3,52.07,47.64,42.49,37.95,33.35,0.12,0.16,0.22,0.29,0.4
43,2022-02-22,164.32,,44.93,39.29,35.05,29.54,0.11,0.12,0.2,0.28,0.4
44,2022-02-23,160.07,46.22,40.3,37.5,30.4,26.19,0.14,0.19,0.27,0.39,0.6
