contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPY231113C00330000	2023-11-13 17:33:33+00:00	330.0	110.45	110.22	110.41	-0.34000397	-0.3068905	2.0	13	1.0000000000000003e-05	True	REGULAR	USD
SPY231113C00354000	2023-11-10 14:59:59+00:00	354.0	81.44	86.39	86.57	0.0	0.0		1	1.6992202539062502	True	REGULAR	USD
SPY231113C00358000	2023-11-10 14:59:59+00:00	358.0	77.43	82.27	82.43	0.0	0.0		1	1.0000000000000003e-05	True	REGULAR	USD
SPY231113C00359000	2023-11-10 14:59:59+00:00	359.0	76.45	81.27	81.43	0.0	0.0		2	1.0000000000000003e-05	True	REGULAR	USD
SPY231113C00361000	2023-11-10 14:59:59+00:00	361.0	74.44	79.3	79.47	0.0	0.0		2	1.0000000000000003e-05	True	REGULAR	USD
SPY231113C00365000	2023-11-01 19:30:22+00:00	365.0	58.33	75.35	75.52	0.0	0.0	1.0	1	1.3281283593749997	True	REGULAR	USD
SPY231113C00366000	2023-11-10 14:59:59+00:00	366.0	69.48	74.35	74.52	0.0	0.0		1	1.3125034374999998	True	REGULAR	USD
SPY231113C00370000	2023-11-09 15:13:06+00:00	370.0	66.73	70.26	70.45	0.0	0.0	3.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPY231113C00371000	2023-11-10 15:00:00+00:00	371.0	64.45	69.35	69.52	0.0	0.0		3	1.2265663671875	True	REGULAR	USD
SPY231113C00379000	2023-11-01 13:49:59+00:00	379.0	41.57	61.31	61.49	0.0	0.0	2.0	1	0.500005	True	REGULAR	USD
SPY231113C00382000	2023-11-10 14:59:59+00:00	382.0	53.49	58.31	58.49	0.0	0.0		1	0.500005	True	REGULAR	USD
SPY231113C00392000	2023-11-10 14:59:59+00:00	392.0	43.45	48.23	48.42	0.0	0.0		3	1.0000000000000003e-05	True	REGULAR	USD
