contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPXW240119C00200000	2023-11-08 20:24:34+00:00	200.0	4169.7	4155.2	4162.6	0.0	0.0	2.0	625	1.0000000000000003e-05	True	REGULAR	USD
SPXW240119C00400000	2023-11-06 19:51:26+00:00	400.0	3952.1	3958.5	3965.9	0.0	0.0	7.0	10	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C00600000	2023-07-13 20:11:18+00:00	600.0	3897.5	0.0	0.0	0.0	0.0	4.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C00800000	2023-09-22 14:47:49+00:00	800.0	3546.3	3413.4	3420.3	0.0	0.0	2.0	43	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C01000000	2023-11-02 14:28:12+00:00	1000.0	3285.63	3364.1	3378.5	0.0	0.0	50.0	661	1.2114297241210936	True	REGULAR	USD
SPX240119C01200000	2023-05-10 19:19:41+00:00	1200.0	2937.7	0.0	0.0	0.0	0.0	8.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C01400000	2023-10-18 15:13:46+00:00	1400.0	2945.45	2967.2	2983.3	0.0	0.0	200.0	203	1.1328168359375002	True	REGULAR	USD
SPX240119C01600000	2023-11-07 20:46:13+00:00	1600.0	2794.1	2767.5	2784.1	0.0	0.0	1.0	39	1.0213671978759766	True	REGULAR	USD
SPX240119C01700000	2023-05-03 12:45:56+00:00	1700.0	2450.07	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPXW240119C01800000	2023-10-13 17:44:19+00:00	1800.0	2539.74	2575.4	2581.9	0.0	0.0	2.0	1	0.9657901370239258	True	REGULAR	USD
SPX240119C01900000	2023-02-23 13:49:25+00:00	1900.0	2156.29	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02000000	2023-11-07 17:47:14+00:00	2000.0	2387.35	2370.6	2387.3	0.0	0.0	5.0	539	0.8647779635620116	True	REGULAR	USD
SPX240119C02100000	2023-10-09 00:15:00+00:00	2100.0	2193.7	0.0	0.0	0.0	0.0	10.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02200000	2023-03-01 17:16:41+00:00	2200.0	1830.64	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPXW240119C02300000	2023-10-25 18:53:32+00:00	2300.0	1906.9	2081.1	2087.2	0.0	0.0		1	0.7828696029663086	True	REGULAR	USD
SPXW240119C02350000	2023-10-03 19:57:12+00:00	2350.0	1903.92	1967.2	1989.5	0.0	0.0		1	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02400000	2023-03-02 14:54:24+00:00	2400.0	1619.72	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02450000	2023-09-27 14:52:20+00:00	2450.0	1852.31	1711.4	1716.3	0.0	0.0	1.0	9	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02500000	2023-10-16 19:25:00+00:00	2500.0	1904.02	1876.8	1893.4	0.0	0.0	1.0	73	0.7010375355529785	True	REGULAR	USD
SPX240119C02550000	2023-03-06 20:58:32+00:00	2550.0	1586.73	0.0	0.0	0.0	0.0	4.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02600000	2023-10-18 15:13:46+00:00	2600.0	1766.75	1781.6	1797.8	0.0	0.0	200.0	221	0.6928741650390625	True	REGULAR	USD
SPX240119C02650000	2023-05-19 17:15:44+00:00	2650.0	1615.76	0.0	0.0	0.0	0.0	51.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02675000	2023-05-19 17:15:44+00:00	2675.0	1592.16	0.0	0.0	0.0	0.0	51.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02700000	2023-07-19 18:46:38+00:00	2700.0	1924.25	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02725000	2023-07-19 18:46:38+00:00	2725.0	1900.15	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02750000	2023-03-06 20:41:37+00:00	2750.0	1403.9	0.0	0.0	0.0	0.0		0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02775000	2023-03-06 20:41:37+00:00	2775.0	1381.21	0.0	0.0	0.0	0.0		0	1.0000000000000003e-05	True	REGULAR	USD
SPX240119C02800000	2023-09-18 16:49:22+00:00	2800.0	1705.07	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000003e-05	True	REGULAR	USD
