contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPY231113P00330000	2023-11-10 14:37:41+00:00	330.0	0.01	0.0	0.01	0.0	0.0	1.0	319.0	1.6875015625	False	REGULAR	USD
SPY231113P00335000	2023-11-10 21:02:55+00:00	335.0	0.01	0.0	0.01	0.0	0.0	226.0	975.0	1.625001875	False	REGULAR	USD
SPY231113P00340000	2023-11-06 16:17:49+00:00	340.0	0.02	0.0	0.01	0.0	0.0	3.0	5.0	1.5312523437499999	False	REGULAR	USD
SPY231113P00345000	2023-11-08 16:11:36+00:00	345.0	0.01	0.0	0.01	0.0	0.0	10.0	104.0	1.4375028125	False	REGULAR	USD
SPY231113P00350000	2023-11-09 19:27:59+00:00	350.0	0.01	0.0	0.01	0.0	0.0	60.0	416.0	1.3750031249999999	False	REGULAR	USD
SPY231113P00354000	2023-11-10 15:36:40+00:00	354.0	0.01	0.0	0.01	0.0	0.0	4.0	1603.0	1.3125034374999998	False	REGULAR	USD
SPY231113P00355000	2023-11-08 18:59:02+00:00	355.0	0.02	0.0	0.01	0.0	0.0	3.0	252.0	1.2812535937499998	False	REGULAR	USD
SPY231113P00356000	2023-11-07 21:10:52+00:00	356.0	0.02		0.01	0.0	0.0		40.0	1.3437532812499997	False	REGULAR	USD
SPY231113P00357000	2023-11-07 17:39:43+00:00	357.0	0.02	0.0	0.01	0.0	0.0	80.0	406.0	1.2500037499999999	False	REGULAR	USD
SPY231113P00360000	2023-11-13 17:20:06+00:00	360.0	0.01	0.0	0.01	0.0	0.0	1.0	200.0	1.21875390625	False	REGULAR	USD
SPY231113P00361000	2023-11-03 14:34:39+00:00	361.0	0.04	0.0	0.01	0.0	0.0	10.0	10.0	1.1875040625	False	REGULAR	USD
SPY231113P00362000	2023-11-07 18:28:41+00:00	362.0	0.02		0.01	0.0	0.0		3.0	1.2500037499999999	False	REGULAR	USD
SPY231113P00364000	2023-11-07 15:55:45+00:00	364.0	0.02		0.01	0.0	0.0		1.0	1.21875390625	False	REGULAR	USD
SPY231113P00365000	2023-11-09 18:42:37+00:00	365.0	0.01	0.0	0.01	0.0	0.0	8.0	84.0	1.125004375	False	REGULAR	USD
SPY231113P00366000	2023-11-09 19:16:12+00:00	366.0	0.01		0.01	0.0	0.0		1030.0	1.1875040625	False	REGULAR	USD
SPY231113P00367000	2023-11-09 20:39:36+00:00	367.0	0.01		0.01	0.0	0.0		179.0	1.171879140625	False	REGULAR	USD
