contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPXW240119P00200000	2023-10-26 20:10:59+00:00	200.0	0.05	0.0	0.05	0.0	0.0		230	1.9140629296875002	False	REGULAR	USD
SPX240119P00400000	2023-10-26 13:40:53+00:00	400.0	0.05	0.0	0.05	0.0	0.0	2.0	30547	1.46875265625	False	REGULAR	USD
SPX240119P00600000	2023-10-25 16:56:32+00:00	600.0	0.05	0.0	0.05	0.0	0.0	6.0	5082	1.21875390625	False	REGULAR	USD
SPX240119P00800000	2023-11-06 15:17:10+00:00	800.0	0.05	0.0	0.0	0.0	0.0	500.0	6316	0.500005	False	REGULAR	USD
SPXW240119P01000000	2023-11-07 14:30:05+00:00	1000.0	0.05	0.0	0.1	0.0	0.0	1.0	256	0.9492192578124999	False	REGULAR	USD
SPX240119P01200000	2023-11-08 15:03:44+00:00	1200.0	0.05	0.0	0.1	0.0	0.0	2.0	11864	0.8320329296874999	False	REGULAR	USD
SPXW240119P01400000	2023-11-09 15:22:17+00:00	1400.0	0.1	0.05	0.1	0.0	0.0	20.0	662	0.7568383691406251	False	REGULAR	USD
SPXW240119P01600000	2023-11-08 21:06:15+00:00	1600.0	0.15	0.1	0.2	0.0	0.0	20.0	295	0.7060576269531251	False	REGULAR	USD
SPXW240119P01700000	2023-11-01 19:53:57+00:00	1700.0	0.3	0.15	0.25	0.0	0.0	375.0	376	0.6806672558593752	False	REGULAR	USD
SPXW240119P01800000	2023-11-08 14:30:07+00:00	1800.0	0.2	0.2	0.3	0.0	0.0	6.0	66	0.6528355029296876	False	REGULAR	USD
SPX240119P01900000	2023-11-03 17:52:40+00:00	1900.0	0.36	0.25	0.35	0.0	0.0	1658.0	9022	0.6245154736328126	False	REGULAR	USD
SPXW240119P02000000	2023-11-09 16:46:06+00:00	2000.0	0.35	0.3	0.4	-0.099999994	-22.222221	13.0	559	0.5959513061523438	False	REGULAR	USD
SPX240119P02100000	2023-11-08 20:05:46+00:00	2100.0	0.35	0.35	0.45	0.0	0.0	2.0	3981	0.5676312768554688	False	REGULAR	USD
SPX240119P02200000	2023-11-08 21:05:04+00:00	2200.0	0.45	0.45	0.55	0.0	0.0	30.0	14318	0.5446822875976562	False	REGULAR	USD
SPXW240119P02300000	2023-11-01 15:16:29+00:00	2300.0	1.15	0.55	0.65	0.0	0.0	30.0	253	0.5205126074218749	False	REGULAR	USD
SPXW240119P02350000	2023-11-09 15:08:17+00:00	2350.0	0.6	0.65	0.75	-0.099999964	-14.285709	15.0	314	0.5119677709960937	False	REGULAR	USD
SPXW240119P02400000	2023-11-09 15:06:32+00:00	2400.0	0.7	0.7	0.8	-0.050000012	-6.6666684	12.0	6996	0.5025684509277344	False	REGULAR	USD
SPX240119P02450000	2023-11-07 14:47:43+00:00	2450.0	0.85	0.8	0.9	0.0	0.0	1.0	5950	0.49255878540039066	False	REGULAR	USD
SPX240119P02500000	2023-11-09 17:17:00+00:00	2500.0	0.85	0.85	0.95	-0.049999952	-5.5555506	50.0	24454	0.4793142889404296	False	REGULAR	USD
SPXW240119P02550000	2023-11-03 17:05:51+00:00	2550.0	1.3	0.95	1.1	0.0	0.0	100.0	2064	0.4710135906982422	False	REGULAR	USD
SPXW240119P02600000	2023-11-08 17:33:30+00:00	2600.0	1.2	1.1	1.2	0.0	0.0	1.0	3220	0.45972219970703126	False	REGULAR	USD
SPX240119P02650000	2023-11-09 16:09:45+00:00	2650.0	1.1	1.15	1.3	-0.14999998	-11.999998	7.0	1292	0.4483087396240234	False	REGULAR	USD
SPX240119P02675000	2023-11-02 15:52:39+00:00	2675.0	1.8	1.25	1.35	0.0	0.0	1.0	1022	0.4425104577636719	False	REGULAR	USD
SPXW240119P02700000	2023-11-09 17:50:57+00:00	2700.0	1.3	1.35	1.45	0.0	0.0	10.0	272	0.4384211431884766	False	REGULAR	USD
SPX240119P02725000	2023-11-07 19:07:00+00:00	2725.0	1.46	1.35	1.45	0.0	0.0	44.0	1490	0.43079182495117196	False	REGULAR	USD
