,Date,Underlying,C170,C175,C180,C185,C190,P170,P175,P180,P185,P190
0,2023-08-21,175.84,16.4,13.27,10.3,7.85,5.91,6.81,8.65,10.85,13.35,16.5
1,2023-08-22,177.23,17.5,14.1,11.1,8.51,6.34,6.26,8.1,10.1,12.75,15.5
2,2023-08-23,181.12,20.2,16.65,13.45,10.55,8.08,5.25,6.71,8.5,10.7,13.33
3,2023-08-24,176.38,16.97,13.75,10.8,8.35,6.25,6.85,8.62,10.75,13.35,16.6
4,2023-08-25,178.61,18.5,15.15,11.85,9.19,6.9,5.9,7.5,9.5,11.9,14.81
5,2023-08-28,180.19,19.4,16,12.55,9.85,7.45,5.45,6.9,8.6,10.95,13.86
6,2023-08-29,184.12,22.03,18.5,14.95,11.75,9.2,4.3,5.5,7.14,9.07,11.4
7,2023-08-30,187.65,24.62,20.82,17.18,14,10.93,3.51,4.58,5.93,7.6,9.6
8,2023-08-31,187.87,24.97,21.1,17.4,14.06,11.05,3.45,4.5,5.8,7.4,9.5
9,2023-09-01,189.46,26,21.7,18.3,14.86,11.8,3.1,4,5.25,6.77,8.71
10,2023-09-05,189.7,26.35,22.3,18.45,15,11.95,3.07,4.1,5.25,6.82,8.65
11,2023-09-06,182.91,20.75,17.15,13.9,10.95,8.33,4.5,6.07,7.6,9.6,12.4
12,2023-09-07,177.56,17,13.85,10.9,8.4,6.15,6.1,7.73,9.85,12.3,15.07
13,2023-09-08,178.18,17.1,13.7,10.75,8.15,6,5.65,7.4,9.3,11.9,14.75
14,2023-09-11,179.36,17.6,14.29,11.2,8.48,6.19,5.05,6.67,8.6,10.72,13.74
15,2023-09-12,176.3,14.85,12,9.14,6.76,4.8,5.78,7.53,9.74,12.54,16.42
16,2023-09-13,174.21,13.57,10.5,7.82,5.7,3.95,6.4,8.35,10.6,13.75,16.45
17,2023-09-14,175.74,14.45,11.2,8.48,6.15,4.25,5.65,7.55,9.75,12.55,15.95
18,2023-09-15,175.01,14.1,10.89,8.19,5.95,4.15,6.2,7.95,10.39,13.65,16.6
19,2023-09-18,177.97,16.08,12.75,9.55,7.19,4.9,4.95,6.55,8.63,11.23,14.33
20,2023-09-19,179.07,16.87,13.4,10.3,7.68,5.45,4.74,6.3,8.23,10.5,13.45
21,2023-09-20,175.49,14.52,11.26,8.48,6.15,4.29,5.8,7.8,10.09,12.54,15.38
22,2023-09-21,173.93,13.52,10.45,7.8,5.6,3.9,6.67,8.6,11.15,14.02,17.49
23,2023-09-22,174.79,14.1,11.09,8.35,6.01,4.16,6.5,8.35,10.72,13.75,17.1
24,2023-09-25,176.08,14.85,11.33,8.82,6.45,4.5,6.05,8.07,10.1,12.8,16.4
25,2023-09-26,171.96,12.55,9.5,7.05,5.06,3.5,7.59,9.9,12.4,15.55,19.3
26,2023-09-27,170.43,11.25,8.35,6.15,4.3,2.9,8.2,10.57,13.45,16.6,20.8
27,2023-09-28,170.69,11.3,8.5,6.1,4.24,2.88,7.88,10.3,13,16.25,19.5
28,2023-09-29,171.21,11.5,8.59,6.22,4.35,2.98,7.64,9.91,12.95,15.75,19.65
29,2023-10-02,173.75,12.45,9.85,7.25,5.1,3.5,6.95,9,11.2,14.55,18.25
30,2023-10-03,172.4,12.28,9.55,7.02,4.95,3.35,7.55,9.65,12.35,15.4,19.3
31,2023-10-04,173.66,13,9.95,7.45,5.28,3.64,6.85,8.8,11.25,14.2,17.9
32,2023-10-05,174.91,13.55,10.52,7.82,5.64,3.8,6.3,8.25,10.5,13.43,16.8
33,2023-10-06,177.49,15.2,11.85,8.9,6.45,4.48,5.18,6.9,9.05,11.45,14.5
34,2023-10-09,178.99,16.2,12.75,9.73,7.12,4.97,4.8,6.35,8.35,10.9,13.9
35,2023-10-10,178.39,15.54,12.35,9.2,6.65,4.57,4.85,6.45,8.5,10.9,14.13
36,2023-10-11,179.8,16.35,12.8,9.75,7.05,4.85,4.3,5.65,7.6,9.97,13.1
37,2023-10-12,180.71,17.1,13.55,10.2,7.4,5.25,4.07,5.5,7.3,9.6,12.9
38,2023-10-13,178.85,15.99,12.4,9.55,6.87,4.75,4.88,6.45,8.48,10.9,13.77
39,2023-10-16,178.72,15.75,12.18,9.25,6.6,4.4,4.6,6.25,8.1,10.65,14.7
40,2023-10-17,177.15,14.25,10.95,8.1,5.7,3.8,5.05,6.85,9,11.7,15.05
41,2023-10-18,175.84,13.3,10.45,7.6,5.35,3.6,5.65,7.4,9.82,12.95,16.14
42,2023-10-19,175.46,13.6,11.3,7.6,5.36,3.6,5.9,7.7,10.05,12.9,16
43,2023-10-20,172.88,11.81,8.9,6.37,4.3,2.74,6.77,8.9,11.4,14.55,18.25
44,2023-10-23,173.0,11.56,8.6,6.09,4.07,2.6,6.65,8.7,11.34,14.3,17.75
