,Date,Underlying,C130,C135,C140,C145,C150,P130,P135,P140,P145,P150
0,2023-08-21,142.28,,11.71,9.15,6.27,4.15,2.57,3.75,5.85,7.8,10.55
1,2023-08-22,141.49,16.15,12.1,8.59,6,3.76,2.69,3.87,,7.95,10.85
2,2023-08-23,143.41,16.88,13.25,9.7,6.76,4.5,2.36,3.45,4.9,7.09,
3,2023-08-24,143.55,17.15,13.32,10,7.09,4.7,2.29,3.42,4.8,7.0,9.7
4,2023-08-25,145.35,18.55,14.33,11,7.77,5.15,1.96,2.87,4.2,6.3,8.6
5,2023-08-28,146.02,19.21,15.07,11.38,8.01,5.48,1.79,2.65,3.9,5.7,8.0
6,2023-08-29,146.45,,15.3,11.47,8.26,5.5,1.68,2.56,3.8,5.41,7.75
7,2023-08-30,146.86,19.3,15.35,11.6,8.15,5.45,1.55,2.52,3.49,5.25,7.5
8,2023-08-31,146.83,19.45,15.42,11.65,8.45,5.52,1.49,2.3,3.55,5.2,7.15
9,2023-09-01,147.94,19.85,16.15,11.89,8.65,5.9,1.41,2.07,3.3,4.7,6.75
10,2023-09-05,148.13,20.9,16.67,12.5,9.15,5.97,1.24,1.94,3.0,4.45,6.6
11,2023-09-06,148.06,20.42,15.8,12.46,8.83,6.06,1.42,2.12,3.2,4.74,6.95
12,2023-09-07,147.52,20.45,16.4,12.2,8.68,5.7,1.39,2.18,3.15,,
13,2023-09-08,147.68,20.7,16.09,12.15,8.6,5.75,1.36,2.1,3.2,4.7,6.7
14,2023-09-11,148.38,20.29,15.8,12.08,8.5,5.62,1.29,2.06,2.9,4.4,6.7
15,2023-09-12,146.3,19.15,14.35,10.6,7.3,4.79,1.47,2.24,3.45,5.18,7.7
16,2023-09-13,146.55,18.73,14.45,10.86,7.4,4.7,1.35,2.07,3.3,4.85,7.4
17,2023-09-14,147.35,,,11,7.85,5.05,1.2,1.88,2.91,4.65,7.0
18,2023-09-15,145.99,18.35,14.6,10,6.85,4.26,1.39,2.06,3.29,5.15,7.9
19,2023-09-18,145.09,,13.3,9.75,6.52,3.87,1.4,2.23,3.5,5.35,7.72
20,2023-09-19,146.52,,14.19,10.59,7.2,4.5,1.38,2.02,3.15,4.81,7.24
21,2023-09-20,149.83,21.73,17.5,13.39,9.7,6.55,0.98,1.45,2.51,3.85,5.95
22,2023-09-21,147.38,19.79,16.1,11.9,8.67,5.45,1.23,1.87,3.25,4.66,7.2
23,2023-09-22,146.91,,15.07,11.56,8.22,5.16,1.39,2.17,3.35,4.85,7.05
24,2023-09-25,146.48,,14.75,10.96,7.45,4.88,1.44,2.25,3.55,5.1,7.6
25,2023-09-26,143.24,16.15,13.6,9,6.05,3.76,2.1,3.25,4.85,6.65,9.9
26,2023-09-27,143.17,16.0,12.1,8.9,6,3.58,2.08,3.3,4.8,7.1,10.11
27,2023-09-28,141.58,14.8,10.65,7.55,4.86,3.05,2.33,3.43,5.13,7.8,11.35
28,2023-09-29,140.3,13.4,10.0,6.61,4.21,2.52,2.55,3.95,5.95,8.6,12.3
29,2023-10-02,140.8,13.77,10.1,7,4.49,2.7,2.45,3.75,5.75,8.4,11.75
30,2023-10-03,140.39,13.61,10.1,6.95,4.6,2.7,2.77,4.3,6.3,8.85,12.2
31,2023-10-04,141.07,13.76,10.5,7.05,4.7,2.83,2.65,3.9,6.2,8.2,11.75
