contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPY240119C00180000	2023-10-25 17:42:32+00:00	180.0	238.73	255.42	257.35	0.0	0.0	2.0	108	0.973633076171875	True	REGULAR	USD
SPY240119C00185000	2023-05-11 18:08:44+00:00	185.0	229.15	246.96	248.22	0.0	0.0	1.0	2	1.0000000000000003e-05	True	REGULAR	USD
SPY240119C00190000	2023-09-18 19:39:37+00:00	190.0	255.89	241.82	243.51	0.0	0.0	2.0	6	1.0000000000000003e-05	True	REGULAR	USD
SPY240119C00195000	2023-09-18 19:39:37+00:00	195.0	251.01	236.88	238.56	0.0	0.0	2.0	6	1.0000000000000003e-05	True	REGULAR	USD
SPY240119C00200000	2023-11-06 17:35:44+00:00	200.0	235.9	236.02	237.6	0.0	0.0	2.0	114	0.7592797509765626	True	REGULAR	USD
SPY240119C00205000	2023-10-26 17:50:56+00:00	205.0	209.95	231.05	232.74	0.0	0.0	1.0	17	0.7587914746093751	True	REGULAR	USD
SPY240119C00210000	2023-10-23 19:52:54+00:00	210.0	212.64	225.89	227.51	0.0	0.0	1.0	7	0.6816438085937502	True	REGULAR	USD
SPY240119C00215000	2023-09-20 20:03:28+00:00	215.0	226.79	207.23	208.51	0.0	0.0	1.0	3	1.0000000000000003e-05	True	REGULAR	USD
SPY240119C00220000	2023-11-03 17:51:39+00:00	220.0	216.33	215.61	217.48	0.0	0.0	2.0	89	0.570316796875	True	REGULAR	USD
SPY240119C00225000	2023-10-31 13:57:43+00:00	225.0	191.29	211.0	212.59	0.0	0.0	13.0	30	0.649417568359375	True	REGULAR	USD
SPY240119C00230000	2023-10-31 13:53:03+00:00	230.0	185.56	206.23	207.87	0.0	0.0	7.0	53	0.6811555322265627	True	REGULAR	USD
SPY240119C00235000	2023-10-09 16:13:23+00:00	235.0	196.95	202.51	203.78	0.0	0.0	26.0	42	0.7855246057128906	True	REGULAR	USD
SPY240119C00240000	2023-10-31 13:46:30+00:00	240.0	176.73	196.26	197.83	0.0	0.0	1.0	59	0.6394079028320312	True	REGULAR	USD
SPY240119C00245000	2023-09-06 15:51:44+00:00	245.0	203.15	187.07	188.27	0.0	0.0	4.0	17	1.0000000000000003e-05	True	REGULAR	USD
SPY240119C00250000	2023-11-09 18:07:27+00:00	250.0	186.87	186.39	187.88	19.399994	11.584161	1.0	107	0.6132851171875001	True	REGULAR	USD
SPY240119C00255000	2023-10-31 18:54:54+00:00	255.0	164.62	180.79	182.59	0.0	0.0	6.0	67	0.5107470800781251	True	REGULAR	USD
SPY240119C00260000	2023-11-09 17:27:45+00:00	260.0	178.7	176.47	178.06	20.59999	13.029721	1.0	199	0.5910685424804689	True	REGULAR	USD
SPY240119C00265000	2023-10-18 13:53:08+00:00	265.0	171.0	171.07	172.82	0.0	0.0	2.0	132	0.5288133056640626	True	REGULAR	USD
SPY240119C00270000	2023-11-08 18:03:37+00:00	270.0	167.75	166.56	168.13	0.0	0.0	1.0	284	0.561527822265625	True	REGULAR	USD
SPY240119C00275000	2023-11-08 18:02:53+00:00	275.0	162.5	161.6	163.16	0.0	0.0	1.0	33	0.5463912548828126	True	REGULAR	USD
SPY240119C00280000	2023-11-09 18:08:12+00:00	280.0	156.51	156.61	158.11	-0.9900055	-0.6285749	2.0	154	0.5256395092773438	True	REGULAR	USD
SPY240119C00285000	2023-08-24 19:25:49+00:00	285.0	157.86	149.32	150.54	0.0	0.0	2.0	22	1.0000000000000003e-05	True	REGULAR	USD
SPY240119C00290000	2023-10-03 18:55:27+00:00	290.0	135.33	141.94	143.15	0.0	0.0	25.0	123	1.0000000000000003e-05	True	REGULAR	USD
SPY240119C00295000	2023-09-14 17:16:56+00:00	295.0	158.38	138.77	140.02	0.0	0.0	200.0	163	1.0000000000000003e-05	True	REGULAR	USD
SPY240119C00300000	2023-11-08 18:04:19+00:00	300.0	137.81	136.86	138.38	0.0	0.0	1.0	439	0.5249070947265625	True	REGULAR	USD
SPY240119C00305000	2023-11-07 15:05:42+00:00	305.0	132.91	131.92	133.44	0.0	0.0	23.0	254	0.5089160437011719	True	REGULAR	USD
SPY240119C00310000	2023-11-02 18:14:37+00:00	310.0	122.24	126.44	128.13	0.0	0.0	5.0	123	0.4725394543457031	True	REGULAR	USD
SPY240119C00315000	2023-11-06 20:45:46+00:00	315.0	122.26	121.53	123.21	0.0	0.0	2.0	259	0.45862357788085945	True	REGULAR	USD
SPY240119C00320000	2023-11-07 18:54:22+00:00	320.0	119.5	116.76	118.23	0.0	0.0	1.0	482	0.4412897668457031	True	REGULAR	USD
SPY240119C00325000	2023-11-08 16:25:16+00:00	325.0	113.83	112.24	113.61	0.0	0.0	1.0	686	0.4417780432128906	True	REGULAR	USD
SPY240119C00330000	2023-11-06 15:57:35+00:00	330.0	107.85	106.89	108.46	0.0	0.0	6.0	350	0.4163266375732422	True	REGULAR	USD
SPY240119C00335000	2023-10-13 18:46:20+00:00	335.0	100.51	102.0	103.61	0.0	0.0	19.0	700	0.4048521429443359	True	REGULAR	USD
SPY240119C00340000	2023-11-02 19:46:41+00:00	340.0	93.2	97.53	98.99	0.0	0.0	1.0	1727	0.40210558837890625	True	REGULAR	USD
SPY240119C00345000	2023-11-08 18:47:01+00:00	345.0	93.79	92.64	94.0	0.0	0.0	1.0	576	0.3839172937011719	True	REGULAR	USD
SPY240119C00350000	2023-11-09 16:26:18+00:00	350.0	90.2	87.76	89.2	0.51999664	0.57983565	200.0	773	0.3726869372558594	True	REGULAR	USD
SPY240119C00355000	2023-11-08 15:52:09+00:00	355.0	84.68	82.89	84.31	0.0	0.0	4.0	417	0.35785554260253905	True	REGULAR	USD
SPY240119C00360000	2023-11-08 19:55:55+00:00	360.0	79.75	77.63	79.19	0.0	0.0	31.0	1072	0.33539482971191403	True	REGULAR	USD
SPY240119C00364000	2023-10-27 14:02:14+00:00	364.0	53.85	73.65	75.26	0.0	0.0	6.0	3	0.32294378234863275	True	REGULAR	USD
SPY240119C00365000	2023-11-06 19:16:08+00:00	365.0	72.32	73.18	74.47	0.0	0.0	4.0	520	0.3257513714599609	True	REGULAR	USD
SPY240119C00370000	2023-11-08 20:48:28+00:00	370.0	70.7	68.35	69.74	0.0	0.0	44.0	725	0.3149482568359374	True	REGULAR	USD
