contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPY240119P00180000	2023-11-08 20:30:29+00:00	180.0	0.02	0.02	0.03	-0.01	-33.333336	7.0	15585	0.6523472265625001	False	REGULAR	USD
SPY240119P00185000	2023-11-09 14:30:00+00:00	185.0	0.03	0.02	0.03	0.0	0.0	6.0	14383	0.632816171875	False	REGULAR	USD
SPY240119P00190000	2023-11-09 14:41:00+00:00	190.0	0.03	0.03	0.04	0.0	0.0	983.0	7407	0.632816171875	False	REGULAR	USD
SPY240119P00195000	2023-11-07 18:35:46+00:00	195.0	0.04	0.03	0.04	0.0	0.0	1.0	6295	0.6132851171875001	False	REGULAR	USD
SPY240119P00200000	2023-11-09 16:24:01+00:00	200.0	0.04	0.03	0.04	0.0	0.0	73.0	11856	0.5937540625000001	False	REGULAR	USD
SPY240119P00205000	2023-11-09 15:49:11+00:00	205.0	0.04	0.04	0.05	-0.010000002	-20.000002	22.0	12943	0.5898478515625001	False	REGULAR	USD
SPY240119P00210000	2023-11-08 18:19:44+00:00	210.0	0.05	0.04	0.05	0.0	0.0	100.0	8449	0.5722699023437501	False	REGULAR	USD
SPY240119P00215000	2023-11-09 15:36:17+00:00	215.0	0.05	0.04	0.05	0.0	0.0	8.0	6161	0.5546919531250001	False	REGULAR	USD
SPY240119P00220000	2023-11-07 20:43:29+00:00	220.0	0.06	0.05	0.06	0.0	0.0	23.0	5755	0.5488326367187502	False	REGULAR	USD
SPY240119P00225000	2023-11-09 15:30:50+00:00	225.0	0.06	0.05	0.06	0.0	0.0	55.0	6194	0.5312546875	False	REGULAR	USD
SPY240119P00230000	2023-11-08 20:47:06+00:00	230.0	0.07	0.06	0.07	0.0	0.0	2.0	9107	0.523442265625	False	REGULAR	USD
SPY240119P00235000	2023-11-02 16:33:01+00:00	235.0	0.11	0.07	0.08	0.0	0.0	1.0	6771	0.514653291015625	False	REGULAR	USD
SPY240119P00240000	2023-11-06 18:21:36+00:00	240.0	0.1	0.08	0.09	0.0	0.0	2.0	9525	0.5048877636718749	False	REGULAR	USD
SPY240119P00245000	2023-11-08 15:04:36+00:00	245.0	0.08	0.09	0.1	-0.010000005	-11.111116	10.0	5863	0.49707534179687507	False	REGULAR	USD
SPY240119P00250000	2023-11-09 17:46:08+00:00	250.0	0.09	0.1	0.11	-0.009999998	-9.999997	13.0	18475	0.48633326171875	False	REGULAR	USD
SPY240119P00255000	2023-11-09 16:37:51+00:00	255.0	0.1	0.11	0.12	0.0	0.0	2.0	5557	0.47461462890625	False	REGULAR	USD
SPY240119P00260000	2023-11-09 16:36:50+00:00	260.0	0.11	0.12	0.13	0.0	0.0	20.0	7029	0.46289599609375004	False	REGULAR	USD
SPY240119P00265000	2023-11-08 21:13:54+00:00	265.0	0.12	0.13	0.14	-0.009999998	-7.692306	1.0	5095	0.45117736328125	False	REGULAR	USD
SPY240119P00270000	2023-11-09 17:46:08+00:00	270.0	0.13	0.14	0.15	-0.02000001	-13.333339	2.0	5012	0.43945873046875	False	REGULAR	USD
SPY240119P00275000	2023-11-09 17:13:37+00:00	275.0	0.15	0.15	0.16	-0.00999999	-6.2499943	107.0	5666	0.42676354492187507	False	REGULAR	USD
SPY240119P00280000	2023-11-09 15:21:54+00:00	280.0	0.17	0.17	0.18	-0.010000005	-5.555558	12.0	5597	0.41797457031249996	False	REGULAR	USD
SPY240119P00285000	2023-11-09 15:57:28+00:00	285.0	0.17	0.18	0.19	-0.010000005	-5.555558	20.0	5239	0.405279384765625	False	REGULAR	USD
SPY240119P00290000	2023-11-08 20:31:19+00:00	290.0	0.19	0.2	0.21	0.0	0.0	8.0	4848	0.39551385742187506	False	REGULAR	USD
SPY240119P00295000	2023-11-09 14:50:59+00:00	295.0	0.21	0.22	0.23	0.0	0.0	1.0	14905	0.3850159155273437	False	REGULAR	USD
SPY240119P00300000	2023-11-09 18:02:38+00:00	300.0	0.23	0.24	0.25	0.0	0.0	46.0	23721	0.3742738354492187	False	REGULAR	USD
SPY240119P00305000	2023-11-09 17:56:04+00:00	305.0	0.25	0.27	0.28	-0.00999999	-3.8461504	25.0	9786	0.36524072265625	False	REGULAR	USD
SPY240119P00310000	2023-11-09 15:26:01+00:00	310.0	0.27	0.29	0.3	-0.00999999	-3.5714252	178.0	15460	0.3537662280273437	False	REGULAR	USD
SPY240119P00315000	2023-11-09 16:05:08+00:00	315.0	0.29	0.32	0.33	-0.01000002	-3.33334	13.0	18522	0.3437565625	False	REGULAR	USD
SPY240119P00320000	2023-11-09 16:55:28+00:00	320.0	0.31	0.34	0.35	-0.02000001	-6.060609	213.0	20633	0.33179379150390625	False	REGULAR	USD
SPY240119P00325000	2023-11-09 16:42:29+00:00	325.0	0.34	0.37	0.38	-0.02000001	-5.555558	229.0	11122	0.32129584960937496	False	REGULAR	USD
