contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPY240119P00180000	2023-11-09 20:22:38+00:00	180.0	0.03	0.0	0.0	0.0	0.0	10.0	0	0.500005	False	REGULAR	USD
SPY240119P00185000	2023-11-09 14:30:00+00:00	185.0	0.03	0.0	0.0	0.0	0.0	6.0	0	0.500005	False	REGULAR	USD
SPY240119P00190000	2023-11-09 14:47:56+00:00	190.0	0.03	0.0	0.0	0.0	0.0	81.0	0	0.2500075	False	REGULAR	USD
SPY240119P00195000	2023-11-07 18:35:46+00:00	195.0	0.04	0.0	0.0	0.0	0.0	1.0	0	0.2500075	False	REGULAR	USD
SPY240119P00200000	2023-11-09 19:25:49+00:00	200.0	0.04	0.0	0.0	0.0	0.0	331.0	0	0.2500075	False	REGULAR	USD
SPY240119P00205000	2023-11-09 15:49:11+00:00	205.0	0.04	0.0	0.0	0.0	0.0	17.0	0	0.2500075	False	REGULAR	USD
SPY240119P00210000	2023-11-09 20:10:28+00:00	210.0	0.05	0.0	0.0	0.0	0.0	20.0	0	0.2500075	False	REGULAR	USD
SPY240119P00215000	2023-11-09 19:56:21+00:00	215.0	0.06	0.0	0.0	0.0	0.0	9.0	0	0.2500075	False	REGULAR	USD
SPY240119P00220000	2023-11-09 19:56:33+00:00	220.0	0.07	0.0	0.0	0.0	0.0	1.0	0	0.2500075	False	REGULAR	USD
SPY240119P00225000	2023-11-09 15:30:50+00:00	225.0	0.06	0.0	0.0	0.0	0.0	8.0	0	0.2500075	False	REGULAR	USD
SPY240119P00230000	2023-11-08 20:47:06+00:00	230.0	0.07	0.0	0.0	0.0	0.0	2.0	0	0.2500075	False	REGULAR	USD
SPY240119P00235000	2023-11-09 18:34:10+00:00	235.0	0.08	0.0	0.0	0.0	0.0	5.0	0	0.2500075	False	REGULAR	USD
SPY240119P00240000	2023-11-06 18:21:36+00:00	240.0	0.1	0.0	0.0	0.0	0.0	2.0	0	0.2500075	False	REGULAR	USD
SPY240119P00245000	2023-11-09 21:12:13+00:00	245.0	0.1	0.0	0.0	0.0	0.0	22.0	0	0.2500075	False	REGULAR	USD
SPY240119P00250000	2023-11-09 19:49:10+00:00	250.0	0.11	0.0	0.0	0.0	0.0	23.0	0	0.2500075	False	REGULAR	USD
SPY240119P00255000	2023-11-09 16:37:51+00:00	255.0	0.1	0.0	0.0	0.0	0.0	2.0	0	0.2500075	False	REGULAR	USD
SPY240119P00260000	2023-11-09 16:36:50+00:00	260.0	0.11	0.0	0.0	0.0	0.0	20.0	0	0.2500075	False	REGULAR	USD
SPY240119P00265000	2023-11-09 16:32:05+00:00	265.0	0.12	0.0	0.0	0.0	0.0	1.0	0	0.2500075	False	REGULAR	USD
SPY240119P00270000	2023-11-09 20:50:01+00:00	270.0	0.16	0.0	0.0	0.0	0.0	11.0	0	0.2500075	False	REGULAR	USD
SPY240119P00275000	2023-11-09 20:14:35+00:00	275.0	0.17	0.0	0.0	0.0	0.0	112.0	0	0.2500075	False	REGULAR	USD
SPY240119P00280000	2023-11-09 18:45:04+00:00	280.0	0.18	0.0	0.0	0.0	0.0	18.0	0	0.2500075	False	REGULAR	USD
SPY240119P00285000	2023-11-09 20:29:31+00:00	285.0	0.2	0.0	0.0	0.0	0.0	70.0	0	0.2500075	False	REGULAR	USD
SPY240119P00290000	2023-11-09 20:44:53+00:00	290.0	0.23	0.0	0.0	0.0	0.0	23.0	0	0.12500875	False	REGULAR	USD
SPY240119P00295000	2023-11-09 19:55:06+00:00	295.0	0.25	0.0	0.0	0.0	0.0	19.0	0	0.12500875	False	REGULAR	USD
SPY240119P00300000	2023-11-09 21:07:34+00:00	300.0	0.27	0.0	0.0	0.0	0.0	168.0	0	0.12500875	False	REGULAR	USD
SPY240119P00305000	2023-11-09 20:34:39+00:00	305.0	0.28	0.0	0.0	0.0	0.0	135.0	0	0.12500875	False	REGULAR	USD
SPY240119P00310000	2023-11-09 19:55:08+00:00	310.0	0.32	0.0	0.0	0.0	0.0	232.0	0	0.12500875	False	REGULAR	USD
SPY240119P00315000	2023-11-09 19:50:46+00:00	315.0	0.34	0.0	0.0	0.0	0.0	64.0	0	0.12500875	False	REGULAR	USD
SPY240119P00320000	2023-11-09 20:49:16+00:00	320.0	0.38	0.0	0.0	0.0	0.0	219.0	0	0.12500875	False	REGULAR	USD
SPY240119P00325000	2023-11-09 20:06:10+00:00	325.0	0.41	0.0	0.0	0.0	0.0	258.0	0	0.12500875	False	REGULAR	USD
SPY240119P00330000	2023-11-09 20:14:00+00:00	330.0	0.44	0.0	0.0	0.0	0.0	20.0	0	0.12500875	False	REGULAR	USD
SPY240119P00335000	2023-11-09 15:06:00+00:00	335.0	0.41	0.0	0.0	0.0	0.0	4.0	0	0.12500875	False	REGULAR	USD
SPY240119P00340000	2023-11-09 18:35:51+00:00	340.0	0.48	0.0	0.0	0.0	0.0	7.0	0	0.12500875	False	REGULAR	USD
SPY240119P00345000	2023-11-09 20:52:04+00:00	345.0	0.58	0.0	0.0	0.0	0.0	48.0	0	0.12500875	False	REGULAR	USD
SPY240119P00350000	2023-11-09 21:14:19+00:00	350.0	0.63	0.0	0.0	0.0	0.0	294.0	0	0.12500875	False	REGULAR	USD
SPY240119P00355000	2023-11-09 20:56:53+00:00	355.0	0.72	0.0	0.0	0.0	0.0	35.0	0	0.12500875	False	REGULAR	USD
SPY240119P00356000	2023-11-06 19:24:05+00:00	356.0	0.78	0.0	0.0	0.0	0.0	1.0	0	0.12500875	False	REGULAR	USD
SPY240119P00357000	2023-11-08 14:43:17+00:00	357.0	0.62	0.0	0.0	0.0	0.0	357.0	0	0.062509375	False	REGULAR	USD
